,conceptCategory,Title,link,type,total timing,minutes_estimate,transcript
,Intermolecular Forces,CP: Intermolecular Forces,https://www.youtube.com/watch?v=AqpCVyexB1w,video,,70,
,Intermolecular Forces,SS: Hydrophobic Effect and Entropy,https://www.youtube.com/watch?v=Nwyf6G_IVXM,video,,10,
,Intermolecular Forces,CP: Phase Diagrams,https://www.youtube.com/watch?v=WDgFCI_BYmo,video,,30,
,Intermolecular Forces,OpenStax: Liquids & Solids,https://drive.google.com/file/d/1PwE-hKmXejlduq_Pf7E8B_BQ4w88W0f1/view?usp=drive_link,reading,,90,
,Seperations and Purifications,PDE: Extractions,https://www.youtube.com/watch?v=N96JaRnE7n0,video,,20,
,Seperations and Purifications,PDE: TLC,https://www.youtube.com/watch?v=I4u_1ST7Ezk,video,,20,
,Seperations and Purifications,PDE: Column Chromatography,https://www.youtube.com/watch?v=yig3QCfBTzc,video,,20,
,Seperations and Purifications,PDE: Seperating by Distillation,https://www.youtube.com/watch?v=Vz2la3947I0,video,,10,
,Seperations and Purifications,NCI: Chromatograph, https://drive.google.com/file/d/1EGSK5qpK-c70NcmCYK_1nT5FwcNUvYie/view?usp=drive_link,reading,,15,
,Seperations and Purifications,LibreText: Extraction,https://drive.google.com/file/d/1RAV4gS2teq-cDHCs0yAfnxEw37Jzjf8n/view?usp=drive_link,reading,,30,
